"","Sector","count_company"
"1","Commercial Services",10
"2","Communications",4
"3","Consumer Durables",15
"4","Consumer Non-Durables",32
"5","Consumer Services",31
"6","Distribution Services",9
"7","Electronic Technology",48
"8","Energy Minerals",15
"9","Finance",92
"10","Health Services",11
"11","Health Technology",46
"12","Industrial Services",10
"13","Non-Energy Minerals",5
"14","Process Industries",23
"15","Producer Manufacturing",33
"16","Retail Trade",26
"17","Technology Services",47
"18","Transportation",13
"19","Utilities",28
